year,month,flat_type,block,street_name,storey_range,min_storey,max_storey,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,uniqueID
2015,1,3,646,ANG MO KIO AVE 6,07 TO 09,7,9,75,New Generation,1980,64,355000,152232
2015,1,3,424,ANG MO KIO AVE 3,04 TO 06,4,6,73,New Generation,1979,63,370000,152233
2015,1,3,584,ANG MO KIO AVE 3,07 TO 09,7,9,82,New Generation,1979,63,410000,152234
2015,1,4,412,ANG MO KIO AVE 10,01 TO 03,1,3,92,New Generation,1979,63,385000,152235
2015,1,4,612,ANG MO KIO AVE 4,04 TO 06,4,6,91,New Generation,1980,64,410000,152236
2015,1,4,562,ANG MO KIO AVE 3,10 TO 12,10,12,92,New Generation,1980,64,416888,152237
2015,1,4,223,ANG MO KIO AVE 1,04 TO 06,4,6,92,New Generation,1978,62,423000,152238
2015,1,4,150,ANG MO KIO AVE 5,10 TO 12,10,12,93,New Generation,1981,65,438000,152239
2015,1,4,468,ANG MO KIO AVE 10,04 TO 06,4,6,92,New Generation,1979,63,438000,152240
2015,1,4,177,ANG MO KIO AVE 4,01 TO 03,1,3,91,New Generation,1981,65,450000,152241
2015,1,4,603,ANG MO KIO AVE 5,07 TO 09,7,9,91,New Generation,1980,64,450000,152242
2015,1,4,415,ANG MO KIO AVE 10,10 TO 12,10,12,92,New Generation,1979,63,465000,152243
2015,1,4,254,ANG MO KIO AVE 4,07 TO 09,7,9,97,New Generation,1977,61,465000,152244
2015,1,4,207,ANG MO KIO AVE 1,01 TO 03,1,3,97,New Generation,1976,60,475000,152245
2015,1,4,432,ANG MO KIO AVE 10,07 TO 09,7,9,92,New Generation,1979,63,475000,152246
2015,1,4,117,ANG MO KIO AVE 4,10 TO 12,10,12,98,New Generation,1978,62,476000,152247
2015,1,4,415,ANG MO KIO AVE 10,07 TO 09,7,9,92,New Generation,1979,63,480000,152248
2015,1,4,428,ANG MO KIO AVE 3,07 TO 09,7,9,92,New Generation,1978,62,483000,152249
2015,1,4,573,ANG MO KIO AVE 3,07 TO 09,7,9,92,New Generation,1979,63,485000,152250
2015,1,4,418,ANG MO KIO AVE 10,07 TO 09,7,9,99,New Generation,1979,63,486888,152251
2015,1,4,324,ANG MO KIO AVE 3,07 TO 09,7,9,98,New Generation,1978,62,583000,152252
2015,1,4,596B,ANG MO KIO ST 52,04 TO 06,4,6,93,Model A,2002,86,600888,152253
2015,1,5,234,ANG MO KIO AVE 3,07 TO 09,7,9,125,Improved,1993,77,533000,152254
2015,1,5,648,ANG MO KIO AVE 5,01 TO 03,1,3,121,Improved,1980,64,570000,152255
2015,1,5,253A,ANG MO KIO ST 21,01 TO 03,1,3,138,Model A,1996,80,580000,152256
2015,1,5,439,ANG MO KIO AVE 10,19 TO 21,19,21,119,Improved,1979,63,645000,152257
2015,1,5,306,ANG MO KIO AVE 1,13 TO 15,13,15,123,Standard,1977,61,650000,152258
2015,1,5,729,ANG MO KIO AVE 6,01 TO 03,1,3,119,Improved,1980,64,670000,152259
2015,1,5,315B,ANG MO KIO ST 31,13 TO 15,13,15,110,Improved,2006,90,755000,152260
2015,1,5,700C,ANG MO KIO AVE 6,19 TO 21,19,21,111,Improved,2003,87,820000,152261
2015,1,2,620,BEDOK RESERVOIR RD,07 TO 09,7,9,45,Improved,1986,70,246000,152262
2015,1,2,38,BEDOK STH RD,07 TO 09,7,9,44,Improved,1978,62,255000,152263
2015,1,3,504,BEDOK NTH ST 3,07 TO 09,7,9,59,Improved,1978,62,270000,152264
2015,1,3,545,BEDOK NTH ST 3,07 TO 09,7,9,68,New Generation,1980,64,280000,152265
2015,1,3,546,BEDOK NTH ST 3,01 TO 03,1,3,68,New Generation,1980,64,280000,152266
2015,1,3,18,BEDOK STH RD,04 TO 06,4,6,65,Improved,1976,60,282000,152267
2015,1,3,550,BEDOK NTH AVE 1,07 TO 09,7,9,68,New Generation,1980,64,285000,152268
2015,1,3,502,BEDOK NTH ST 3,07 TO 09,7,9,59,Improved,1978,62,285000,152269
2015,1,3,509,BEDOK NTH ST 3,04 TO 06,4,6,67,New Generation,1979,63,285000,152270
2015,1,3,525,BEDOK NTH ST 3,04 TO 06,4,6,67,New Generation,1979,63,285000,152271
2015,1,3,534,BEDOK NTH ST 3,07 TO 09,7,9,60,Improved,1986,70,285000,152272
2015,1,3,542,BEDOK NTH ST 3,10 TO 12,10,12,67,New Generation,1985,69,285000,152273
2015,1,3,76,BEDOK NTH RD,04 TO 06,4,6,59,Improved,1978,62,288000,152274
2015,1,3,709,BEDOK RESERVOIR RD,04 TO 06,4,6,68,New Generation,1981,65,288000,152275
2015,1,3,620,BEDOK RESERVOIR RD,04 TO 06,4,6,68,Improved,1986,70,290000,152276
2015,1,3,703,BEDOK RESERVOIR RD,01 TO 03,1,3,68,New Generation,1980,64,291000,152277
2015,1,3,27,NEW UPP CHANGI RD,01 TO 03,1,3,65,Improved,1982,66,292000,152278
2015,1,3,42,CHAI CHEE ST,04 TO 06,4,6,67,New Generation,1985,69,295000,152279
2015,1,3,426,BEDOK NTH RD,07 TO 09,7,9,82,New Generation,1979,63,300000,152280
2015,1,3,530,BEDOK NTH ST 3,01 TO 03,1,3,68,New Generation,1979,63,300000,152281
2015,1,3,420,BEDOK NTH ST 1,01 TO 03,1,3,68,New Generation,1979,63,305000,152282
2015,1,3,105,BEDOK NTH AVE 4,01 TO 03,1,3,67,New Generation,1977,61,308000,152283
2015,1,3,519,BEDOK NTH AVE 1,01 TO 03,1,3,67,New Generation,1979,63,310000,152284
2015,1,3,548,BEDOK NTH AVE 1,04 TO 06,4,6,68,New Generation,1980,64,310000,152285
2015,1,3,537,BEDOK NTH ST 3,04 TO 06,4,6,68,New Generation,1980,64,310000,152286
2015,1,3,28,NEW UPP CHANGI RD,01 TO 03,1,3,65,Improved,1977,61,310000,152287
2015,1,3,100,BEDOK NTH AVE 4,04 TO 06,4,6,67,New Generation,1978,62,310800,152288
2015,1,3,103,BEDOK RESERVOIR RD,04 TO 06,4,6,70,New Generation,1985,69,313000,152289
2015,1,3,522,BEDOK NTH AVE 1,10 TO 12,10,12,67,New Generation,1979,63,315000,152290
2015,1,3,551,BEDOK NTH AVE 1,04 TO 06,4,6,67,New Generation,1980,64,315000,152291
2015,1,3,709,BEDOK RESERVOIR RD,04 TO 06,4,6,68,New Generation,1981,65,315000,152292
2015,1,3,608,BEDOK RESERVOIR RD,10 TO 12,10,12,67,New Generation,1982,66,318000,152293
2015,1,3,135,BEDOK NTH ST 2,07 TO 09,7,9,67,New Generation,1978,62,320000,152294
2015,1,3,40,CHAI CHEE AVE,01 TO 03,1,3,65,Improved,1974,58,320000,152295
2015,1,3,57,NEW UPP CHANGI RD,04 TO 06,4,6,68,Improved,1985,69,320000,152296
2015,1,3,420,BEDOK NTH ST 1,04 TO 06,4,6,68,New Generation,1979,63,323000,152297
2015,1,3,401,BEDOK NTH AVE 3,10 TO 12,10,12,67,New Generation,1979,63,332000,152298
2015,1,3,2,BEDOK STH AVE 1,07 TO 09,7,9,65,Improved,1976,60,338000,152299
2015,1,3,2,BEDOK STH AVE 1,10 TO 12,10,12,65,Improved,1976,60,339000,152300
2015,1,3,426,BEDOK NTH RD,10 TO 12,10,12,67,New Generation,1979,63,342000,152301
2015,1,3,116,BEDOK NTH RD,07 TO 09,7,9,73,New Generation,1978,62,355000,152302
2015,1,3,419,BEDOK NTH ST 1,07 TO 09,7,9,68,New Generation,1979,63,358000,152303
2015,1,3,107,BEDOK NTH RD,10 TO 12,10,12,81,New Generation,1977,61,378000,152304
2015,1,3,221B,BEDOK CTRL,04 TO 06,4,6,69,Model A,2010,94,458000,152305
2015,1,3,219A,BEDOK CTRL,16 TO 18,16,18,69,Model A,2010,94,500000,152306
2015,1,4,512,BEDOK NTH AVE 2,01 TO 03,1,3,92,New Generation,1979,63,355000,152307
2015,1,4,131,BEDOK RESERVOIR RD,01 TO 03,1,3,83,Simplified,1987,71,360000,152308
2015,1,4,147,BEDOK RESERVOIR RD,13 TO 15,13,15,84,Simplified,1987,71,369000,152309
2015,1,4,117,BEDOK NTH RD,04 TO 06,4,6,89,New Generation,1978,62,378000,152310
2015,1,4,82,BEDOK NTH RD,04 TO 06,4,6,92,New Generation,1978,62,385000,152311
2015,1,4,121,BEDOK NTH RD,04 TO 06,4,6,92,New Generation,1978,62,388000,152312
2015,1,4,536,BEDOK NTH ST 3,16 TO 18,16,18,92,New Generation,1980,64,390000,152313
2015,1,4,530,BEDOK NTH ST 3,07 TO 09,7,9,92,New Generation,1979,63,395000,152314
2015,1,4,121,BEDOK NTH RD,01 TO 03,1,3,92,New Generation,1978,62,397000,152315
2015,1,4,517,BEDOK NTH AVE 2,10 TO 12,10,12,92,New Generation,1979,63,400000,152316
2015,1,4,34,BEDOK STH AVE 2,07 TO 09,7,9,90,Improved,1977,61,405000,152317
2015,1,4,6,BEDOK STH AVE 2,10 TO 12,10,12,82,Improved,1976,60,408000,152318
2015,1,4,37,BEDOK STH AVE 2,13 TO 15,13,15,84,Improved,1977,61,410000,152319
2015,1,4,35,BEDOK STH AVE 2,04 TO 06,4,6,90,Improved,1977,61,415000,152320
2015,1,4,724,BEDOK RESERVOIR RD,04 TO 06,4,6,103,Model A,1984,68,418000,152321
2015,1,4,523,BEDOK NTH ST 3,10 TO 12,10,12,92,New Generation,1979,63,420000,152322
2015,1,4,65,NEW UPP CHANGI RD,01 TO 03,1,3,92,New Generation,1978,62,425000,152323
2015,1,4,132,BEDOK NTH ST 2,13 TO 15,13,15,92,New Generation,1978,62,438000,152324
2015,1,4,62,NEW UPP CHANGI RD,10 TO 12,10,12,92,New Generation,1978,62,441888,152325
2015,1,4,428,BEDOK NTH RD,10 TO 12,10,12,92,New Generation,1979,63,450000,152326
2015,1,4,772,BEDOK RESERVOIR VIEW,19 TO 21,19,21,107,Premium Apartment,2000,84,485000,152327
2015,1,4,774,BEDOK RESERVOIR VIEW,19 TO 21,19,21,107,Premium Apartment,2000,84,500000,152328
2015,1,4,768,BEDOK RESERVOIR VIEW,13 TO 15,13,15,105,Premium Apartment,2000,84,530000,152329
2015,1,4,180,BEDOK NTH RD,16 TO 18,16,18,85,Model A,2006,90,560000,152330
2015,1,5,611,BEDOK RESERVOIR RD,04 TO 06,4,6,123,Improved,1993,77,420000,152331
2015,1,5,602,BEDOK RESERVOIR RD,07 TO 09,7,9,121,Improved,1982,66,440000,152332
2015,1,5,101,BEDOK RESERVOIR RD,07 TO 09,7,9,121,Improved,1985,69,480000,152333
2015,1,5,506,BEDOK NTH AVE 3,04 TO 06,4,6,119,Improved,1978,62,500000,152334
2015,1,5,99,BEDOK NTH AVE 4,07 TO 09,7,9,123,Standard,1978,62,500000,152335
2015,1,5,553,BEDOK NTH AVE 1,01 TO 03,1,3,121,Improved,1980,64,530000,152336
2015,1,5,804,CHAI CHEE RD,01 TO 03,1,3,128,Improved,1993,77,550000,152337
2015,1,5,659,JLN TENAGA,04 TO 06,4,6,126,Improved,1996,80,563000,152338
2015,1,5,405,BEDOK NTH AVE 3,07 TO 09,7,9,118,Improved,1980,64,575000,152339
2015,1,5,172,BEDOK STH RD,01 TO 03,1,3,122,Improved,1985,69,575000,152340
2015,1,5,406,BEDOK NTH AVE 3,10 TO 12,10,12,118,Improved,1980,64,618888,152341
2015,1,5,804,CHAI CHEE RD,07 TO 09,7,9,126,Improved,1993,77,620000,152342
2015,1,5,55,NEW UPP CHANGI RD,16 TO 18,16,18,118,Standard,1977,61,635000,152343
2015,1,5,66,BEDOK STH AVE 3,01 TO 03,1,3,123,Standard,1977,61,637000,152344
2015,1,5,103,LENGKONG TIGA,01 TO 03,1,3,121,Improved,1989,73,688000,152345
2015,1,5,67,BEDOK STH AVE 3,16 TO 18,16,18,123,Standard,1977,61,768000,152346
2015,1,EXECUTIVE,114,BEDOK RESERVOIR RD,01 TO 03,1,3,148,Maisonette,1985,69,620000,152347
2015,1,EXECUTIVE,10D,BEDOK STH AVE 2,04 TO 06,4,6,141,Apartment,1995,79,630000,152348
2015,1,EXECUTIVE,629,BEDOK RESERVOIR RD,01 TO 03,1,3,173,Apartment,1993,77,753000,152349
2015,1,EXECUTIVE,104,LENGKONG TIGA,07 TO 09,7,9,146,Maisonette,1989,73,840000,152350
2015,1,3,308,SHUNFU RD,01 TO 03,1,3,67,New Generation,1984,68,392000,152351
2015,1,4,271,BISHAN ST 24,01 TO 03,1,3,104,Model A,1992,76,410000,152352
2015,1,4,107,BISHAN ST 12,01 TO 03,1,3,84,Simplified,1985,69,438000,152353
2015,1,4,239,BISHAN ST 22,01 TO 03,1,3,105,Model A,1992,76,470000,152354
2015,1,4,264,BISHAN ST 24,07 TO 09,7,9,104,Model A,1992,76,475000,152355
2015,1,4,177,BISHAN ST 13,01 TO 03,1,3,83,Simplified,1987,71,485000,152356
2015,1,4,281,BISHAN ST 24,01 TO 03,1,3,109,Model A,1992,76,520000,152357
2015,1,4,113,BISHAN ST 12,07 TO 09,7,9,84,Simplified,1986,70,530000,152358
2015,1,4,227,BISHAN ST 23,04 TO 06,4,6,105,Model A,1992,76,535000,152359
2015,1,4,167,BISHAN ST 13,07 TO 09,7,9,84,Simplified,1988,72,538000,152360
2015,1,4,112,BISHAN ST 12,01 TO 03,1,3,104,Model A,1985,69,565000,152361
2015,1,4,251,BISHAN ST 22,07 TO 09,7,9,108,Model A,1992,76,570000,152362
2015,1,4,302,SHUNFU RD,01 TO 03,1,3,95,New Generation,1984,68,570000,152363
2015,1,4,264,BISHAN ST 24,07 TO 09,7,9,104,Model A,1992,76,585000,152364
2015,1,4,289,BISHAN ST 24,10 TO 12,10,12,100,Premium Apartment,1998,82,588000,152365
2015,1,4,248,BISHAN ST 22,22 TO 24,22,24,116,Model A,1992,76,675000,152366
2015,1,5,310,SHUNFU RD,07 TO 09,7,9,121,Improved,1984,69,590000,152367
2015,1,5,447,BRIGHT HILL DR,16 TO 18,16,18,120,Improved,1990,74,668888,152368
2015,1,5,217,BISHAN ST 23,10 TO 12,10,12,137,Model A,1992,76,770000,152369
2015,1,5,128,BISHAN ST 12,13 TO 15,13,15,121,Improved,1987,71,782000,152370
2015,1,5,183,BISHAN ST 13,10 TO 12,10,12,121,Improved,1987,71,820000,152371
2015,1,5,192,BISHAN ST 13,13 TO 15,13,15,120,Improved,1987,71,851000,152372
2015,1,EXECUTIVE,212,BISHAN ST 23,04 TO 06,4,6,149,Maisonette,1992,76,835000,152373
2015,1,EXECUTIVE,201,BISHAN ST 23,07 TO 09,7,9,150,Maisonette,1992,76,880000,152374
2015,1,EXECUTIVE,450,SIN MING AVE,22 TO 24,22,24,174,Maisonette,1989,73,955000,152375
2015,1,3,525,BT BATOK ST 52,01 TO 03,1,3,64,Simplified,1987,71,255000,152376
2015,1,3,501,BT BATOK ST 52,04 TO 06,4,6,64,Simplified,1986,70,270000,152377
2015,1,3,410,BT BATOK WEST AVE 4,01 TO 03,1,3,68,New Generation,1988,72,270000,152378
2015,1,3,408,BT BATOK WEST AVE 4,07 TO 09,7,9,68,New Generation,1988,72,272000,152379
2015,1,3,423,BT BATOK WEST AVE 2,04 TO 06,4,6,68,New Generation,1988,72,275000,152380
2015,1,3,272,BT BATOK EAST AVE 4,04 TO 06,4,6,64,Simplified,1986,70,276000,152381
2015,1,3,229,BT BATOK EAST AVE 3,10 TO 12,10,12,67,New Generation,1985,69,280000,152382
2015,1,3,217,BT BATOK ST 21,10 TO 12,10,12,67,New Generation,1984,68,280000,152383
2015,1,3,421,BT BATOK WEST AVE 2,07 TO 09,7,9,68,New Generation,1988,72,280000,152384
2015,1,3,407,BT BATOK WEST AVE 4,04 TO 06,4,6,68,New Generation,1988,72,280000,152385
2015,1,3,240,BT BATOK EAST AVE 5,01 TO 03,1,3,74,New Generation,1985,69,283000,152386
2015,1,3,179,BT BATOK WEST AVE 8,01 TO 03,1,3,67,New Generation,1985,69,283000,152387
2015,1,3,414,BT BATOK WEST AVE 4,07 TO 09,7,9,73,Model A,1987,71,285000,152388
2015,1,3,269,BT BATOK EAST AVE 4,01 TO 03,1,3,64,Simplified,1986,70,287000,152389
2015,1,3,240,BT BATOK EAST AVE 5,07 TO 09,7,9,67,New Generation,1985,69,288000,152390
2015,1,3,152,BT BATOK ST 11,04 TO 06,4,6,67,New Generation,1998,82,288000,152391
2015,1,3,146,BT BATOK WEST AVE 6,01 TO 03,1,3,68,New Generation,1984,68,290000,152392
2015,1,3,533,BT BATOK ST 51,07 TO 09,7,9,69,Improved,1988,72,295000,152393
2015,1,3,157,BT BATOK ST 11,04 TO 06,4,6,80,New Generation,1998,82,297000,152394
2015,1,3,540,BT BATOK ST 52,10 TO 12,10,12,73,Model A,1987,71,298000,152395
2015,1,3,239,BT BATOK EAST AVE 5,07 TO 09,7,9,67,New Generation,1985,69,300000,152396
2015,1,3,249,BT BATOK EAST AVE 5,07 TO 09,7,9,73,Model A,1985,69,300000,152397
2015,1,3,316,BT BATOK ST 32,10 TO 12,10,12,68,New Generation,1986,70,300000,152398
2015,1,3,250,BT BATOK EAST AVE 5,10 TO 12,10,12,73,Model A,1985,69,305000,152399
2015,1,3,164,BT BATOK ST 11,13 TO 15,13,15,73,Model A,1984,68,306000,152400
2015,1,3,167,BT BATOK WEST AVE 8,07 TO 09,7,9,74,Model A,1984,68,312000,152401
2015,1,3,312,BT BATOK ST 32,10 TO 12,10,12,68,New Generation,1985,69,320000,152402
2015,1,3,208,BT BATOK ST 21,04 TO 06,4,6,73,Model A,1983,67,324000,152403
2015,1,3,534,BT BATOK ST 51,04 TO 06,4,6,69,Improved,1987,71,325000,152404
2015,1,4,311,BT BATOK ST 32,01 TO 03,1,3,84,Simplified,1988,72,350000,152405
2015,1,4,319,BT BATOK ST 33,04 TO 06,4,6,84,Simplified,1986,70,350000,152406
2015,1,4,408,BT BATOK WEST AVE 4,07 TO 09,7,9,94,New Generation,1988,72,367000,152407
2015,1,4,417,BT BATOK WEST AVE 4,10 TO 12,10,12,103,Model A,1986,70,368000,152408
2015,1,4,307,BT BATOK ST 31,04 TO 06,4,6,93,New Generation,1985,69,378000,152409
2015,1,4,138,BT BATOK WEST AVE 6,04 TO 06,4,6,93,New Generation,1984,68,378000,152410
2015,1,4,124,BT BATOK CTRL,04 TO 06,4,6,93,New Generation,1985,69,395000,152411
2015,1,4,291B,BT BATOK ST 24,07 TO 09,7,9,103,Model A,1998,82,400000,152412
2015,1,4,288D,BT BATOK ST 25,13 TO 15,13,15,92,Model A2,1998,82,400000,152413
2015,1,4,113,BT BATOK WEST AVE 6,04 TO 06,4,6,104,Model A,1984,68,415000,152414
2015,1,4,186,BT BATOK WEST AVE 6,04 TO 06,4,6,105,Model A,1989,73,415000,152415
2015,1,4,164,BT BATOK ST 11,04 TO 06,4,6,105,Model A,1984,68,418000,152416
2015,1,4,386,BT BATOK WEST AVE 5,10 TO 12,10,12,92,Model A,2004,88,418000,152417
2015,1,4,337,BT BATOK ST 34,07 TO 09,7,9,104,Model A,1986,70,420000,152418
2015,1,4,165,BT BATOK WEST AVE 8,04 TO 06,4,6,105,Model A,1984,68,425000,152419
2015,1,4,290D,BT BATOK EAST AVE 3,07 TO 09,7,9,100,Model A,1998,82,435000,152420
2015,1,4,131,BT BATOK WEST AVE 6,07 TO 09,7,9,103,Model A,1984,68,435000,152421
2015,1,4,291D,BT BATOK ST 24,01 TO 03,1,3,104,Model A,1998,82,438000,152422
2015,1,4,291A,BT BATOK ST 24,16 TO 18,16,18,103,Model A,1997,81,460000,152423
2015,1,4,384,BT BATOK WEST AVE 5,16 TO 18,16,18,90,Model A,2005,89,460000,152424
2015,1,4,386,BT BATOK WEST AVE 5,22 TO 24,22,24,92,Model A,2004,88,460000,152425
2015,1,4,207,BT BATOK ST 21,10 TO 12,10,12,104,Model A,1983,67,463888,152426
2015,1,4,193,BT BATOK WEST AVE 6,04 TO 06,4,6,99,Model A,1997,81,465000,152427
2015,1,4,193,BT BATOK WEST AVE 6,07 TO 09,7,9,100,Model A,1997,81,470000,152428
2015,1,5,243,BT BATOK EAST AVE 5,01 TO 03,1,3,121,Improved,1985,69,440000,152429
2015,1,5,388,BT BATOK WEST AVE 5,13 TO 15,13,15,110,Improved,2005,89,580000,152430
2015,1,5,102,BT BATOK WEST AVE 6,04 TO 06,4,6,134,Model A,1985,69,600000,152431
2015,1,5,623,BT BATOK CTRL,04 TO 06,4,6,119,Improved,1997,81,622000,152432
2015,1,5,621,BT BATOK CTRL,16 TO 18,16,18,113,Improved,2003,87,710000,152433
2015,1,5,622,BT BATOK CTRL,16 TO 18,16,18,113,Improved,2003,87,718888,152434
2015,1,5,202,BT BATOK ST 21,16 TO 18,16,18,149,Model A,1985,69,728000,152435
2015,1,EXECUTIVE,524,BT BATOK ST 52,01 TO 03,1,3,146,Maisonette,1987,71,535000,152436
2015,1,2,28,JLN KLINIK,10 TO 12,10,12,49,Standard,1969,53,280000,152437
2015,1,2,48,LOWER DELTA RD,10 TO 12,10,12,42,Standard,1970,54,280000,152438
2015,1,3,116,BT MERAH VIEW,04 TO 06,4,6,59,Improved,1974,58,315000,152439
2015,1,3,8,JLN BT HO SWEE,07 TO 09,7,9,56,Standard,1971,55,345000,152440
2015,1,3,107,JLN BT MERAH,10 TO 12,10,12,63,Standard,1970,54,355000,152441
2015,1,3,5,TELOK BLANGAH CRES,16 TO 18,16,18,66,Improved,1983,67,360000,152442
2015,1,3,26,JLN KLINIK,04 TO 06,4,6,60,Standard,1969,53,363000,152443
2015,1,3,129,BT MERAH VIEW,04 TO 06,4,6,65,Improved,1973,57,366000,152444
2015,1,3,130,BT MERAH VIEW,07 TO 09,7,9,65,Improved,1973,57,369888,152445
2015,1,3,60,TELOK BLANGAH HTS,04 TO 06,4,6,67,New Generation,1976,60,372000,152446
2015,1,3,130,KIM TIAN RD,10 TO 12,10,12,65,Improved,1976,60,375000,152447
2015,1,3,128,BT MERAH VIEW,07 TO 09,7,9,65,Improved,1973,57,380000,152448
2015,1,3,38,BEO CRES,07 TO 09,7,9,59,Standard,1971,55,382000,152449
2015,1,3,11,CANTONMENT CL,01 TO 03,1,3,60,Model A,2002,87,420000,152450
2015,1,3,77,TELOK BLANGAH DR,07 TO 09,7,9,82,New Generation,1978,62,446888,152451
2015,1,3,55,TELOK BLANGAH DR,04 TO 06,4,6,88,New Generation,1978,62,465000,152452
2015,1,3,26D,JLN MEMBINA,13 TO 15,13,15,60,Model A,2009,93,472000,152453
2015,1,3,11,CANTONMENT CL,07 TO 09,7,9,60,Model A,2002,86,490000,152454
2015,1,3,26C,JLN MEMBINA,22 TO 24,22,24,60,Model A,2009,93,540000,152455
2015,1,3,27,LIM LIAK ST,04 TO 06,4,6,88,Standard,1973,57,625000,152456
2015,1,3,29,LIM LIAK ST,04 TO 06,4,6,88,Standard,1973,57,630000,152457
2015,1,3,46,SENG POH RD,01 TO 03,1,3,88,Standard,1973,57,631000,152458
2015,1,4,59,TELOK BLANGAH HTS,01 TO 03,1,3,91,New Generation,1976,60,456000,152459
2015,1,4,54,LENGKOK BAHRU,04 TO 06,4,6,84,Simplified,1986,70,540000,152460
2015,1,4,106A,DEPOT RD,10 TO 12,10,12,100,Model A,2000,84,570000,152461
2015,1,4,53,LENGKOK BAHRU,04 TO 06,4,6,103,Model A,1986,70,580000,152462
2015,1,4,14,TELOK BLANGAH CRES,13 TO 15,13,15,101,Model A,1999,83,595000,152463
2015,1,4,54,TELOK BLANGAH DR,10 TO 12,10,12,98,New Generation,1978,62,615000,152464
2015,1,4,112B,DEPOT RD,19 TO 21,19,21,90,Model A,2006,90,655000,152465
2015,1,4,20,JLN MEMBINA,19 TO 21,19,21,90,Model A,2003,87,680000,152466
2015,1,4,120,KIM TIAN PL,04 TO 06,4,6,91,Model A,2001,85,680000,152467
2015,1,4,70,REDHILL CL,10 TO 12,10,12,100,Model A,2001,85,718000,152468
2015,1,4,68,REDHILL CL,19 TO 21,19,21,100,Model A,2001,85,730000,152469
2015,1,4,69,REDHILL CL,22 TO 24,22,24,100,Model A,2001,85,735000,152470
2015,1,4,21,JLN MEMBINA,16 TO 18,16,18,90,Model A,2003,87,735000,152471
2015,1,4,26C,JLN MEMBINA,16 TO 18,16,18,85,Model A,2009,93,740000,152472
2015,1,4,8A,BOON TIONG RD,07 TO 09,7,9,100,Model A,2005,89,750000,152473
2015,1,4,27A,JLN MEMBINA,25 TO 27,25,27,85,Model A,2008,92,765000,152474
2015,1,4,2A,BOON TIONG RD,13 TO 15,13,15,100,Model A,2001,85,770000,152475
2015,1,5,50,HOY FATT RD,07 TO 09,7,9,122,Improved,1987,71,680000,152476
